"tract.key","county","cntyname","vtdname","pop10","afact","state"
"48029181713","48029","Bexar TX","Vtng Dist 2106","1516","1 ","48"
"48029191003","48029","Bexar TX","Vtng Dist 2107","757","1 ","48"
"48029181703","48029","Bexar TX","Vtng Dist 2108","2071","0.644 ","48"
"48029181731","48029","Bexar TX","Vtng Dist 2110","2088","1 ","48"
"48113018123","48113","Dallas TX","Vtng Dist 2111","4651","1 ","48"
"48113018123","48113","Dallas TX","Vtng Dist 2112","3786","1 ","48"
"48029190902","48029","Bexar TX","Vtng Dist 2113","422","1 ","48"
"48113018105","48113","Dallas TX","Vtng Dist 2114","5532","0.989 ","48"
"48029181712","48029","Bexar TX","Vtng Dist 2115","1273","1 ","48"
"48029120701","48029","Bexar TX","Vtng Dist 2116","3","1 ","48"
"48029190400","48029","Bexar TX","Vtng Dist 2117","227","1 ","48"
"48113019014","48113","Dallas TX","Vtng Dist 2118","6971","1 ","48"
"48029180901","48029","Bexar TX","Vtng Dist 2119","247","1 ","48"
"48029190400","48029","Bexar TX","Vtng Dist 2120","368","1 ","48"
"48029120701","48029","Bexar TX","Vtng Dist 2121","910","1 ","48"
"48113018802","48113","Dallas TX","Vtng Dist 2123","835","1 ","48"
"48029181728","48029","Bexar TX","Vtng Dist 2124","25","1 ","48"
"48029181722","48029","Bexar TX","Vtng Dist 2125","343","1 ","48"
"48029181704","48029","Bexar TX","Vtng Dist 2126","3070","1 ","48"
"48113018600","48113","Dallas TX","Vtng Dist 2127","3531","0.933 ","48"
